Date,Indian rupee (INR) per gram
17-12-1980,145.6502766
18-12-1980,147.1176367
19-12-1980,142.2213995
22-12-1980,150.8641632
23-12-1980,152.4874544
24-12-1980,152.3848935
25-12-1980,152.3848935
26-12-1980,152.3848935
29-12-1980,153.0237288
30-12-1980,148.1966158
31-12-1980,148.5470589
01-01-1981,148.5470589
02-01-1981,149.4527454
05-01-1981,148.0432567
06-01-1981,151.2869455
07-01-1981,149.4058053
08-01-1981,145.9749992
09-01-1981,147.9940661
12-01-1981,143.769458
13-01-1981,144.911131
14-01-1981,143.4540591
15-01-1981,144.5111757
16-01-1981,143.8643027
19-01-1981,142.1635282
20-01-1981,142.8988157
21-01-1981,146.6469498
22-01-1981,145.7319395
23-01-1981,141.5195487
26-01-1981,134.9456856
27-01-1981,133.5680261
28-01-1981,134.6161404
29-01-1981,130.658705
30-01-1981,132.5642798
02-02-1981,129.4057904
03-02-1981,129.7192602
04-02-1981,130.9114099
05-02-1981,129.9169873
06-02-1981,132.2025839
09-02-1981,134.4135907
10-02-1981,135.5954521
11-02-1981,132.1726837
12-02-1981,130.4291487
13-02-1981,129.1858793
16-02-1981,128.8248264
17-02-1981,131.7048903
18-02-1981,132.4832599
19-02-1981,132.4208874
20-02-1981,135.6742215
23-02-1981,135.612492
24-02-1981,133.9933804
25-02-1981,135.1694548
26-02-1981,131.8399234
27-02-1981,131.2676402
02-03-1981,125.2345526
03-03-1981,122.4232913
04-03-1981,126.0106716
05-03-1981,120.7688139
06-03-1981,122.646739
09-03-1981,123.6890662
10-03-1981,126.6286089
11-03-1981,124.9220473
12-03-1981,125.2483774
13-03-1981,129.9925415
16-03-1981,129.9462445
17-03-1981,131.1007778
18-03-1981,133.9416177
19-03-1981,130.5313881
20-03-1981,135.3398537
23-03-1981,140.8784628
24-03-1981,140.0373993
25-03-1981,141.1973982
26-03-1981,142.2606234
27-03-1981,146.0920279
30-03-1981,139.8641068
31-03-1981,136.3349193
01-04-1981,137.2714706
02-04-1981,137.9672127
03-04-1981,139.895936
06-04-1981,142.5306897
07-04-1981,139.2339521
08-04-1981,134.0043117
09-04-1981,135.4899977
10-04-1981,130.5889379
13-04-1981,125.7200288
14-04-1981,128.3795386
15-04-1981,128.9042388
16-04-1981,127.5677322
17-04-1981,127.5677322
20-04-1981,127.5677322
21-04-1981,128.1660576
22-04-1981,130.5841153
23-04-1981,129.5507903
24-04-1981,130.6500243
27-04-1981,129.2395711
28-04-1981,129.259183
29-04-1981,127.8230092
30-04-1981,128.5537956
01-05-1981,128.505248
04-05-1981,128.505248
05-05-1981,127.4748166
06-05-1981,128.9482853
07-05-1981,128.721944
08-05-1981,128.5988067
11-05-1981,133.9483694
12-05-1981,131.0972412
13-05-1981,132.0231827
14-05-1981,130.5696474
15-05-1981,131.1380726
18-05-1981,129.367531
19-05-1981,131.5360989
20-05-1981,129.7285839
21-05-1981,131.1702234
22-05-1981,127.1967126
25-05-1981,127.1967126
26-05-1981,127.8458362
27-05-1981,127.9799048
28-05-1981,128.3071994
29-05-1981,130.0970315
01-06-1981,131.1798686
02-06-1981,130.6477738
03-06-1981,131.9408768
04-06-1981,131.2943253
05-06-1981,129.3421319
08-06-1981,127.7018008
09-06-1981,129.5806905
10-06-1981,127.922998
11-06-1981,129.0614559
12-06-1981,129.2463227
15-06-1981,128.1560909
16-06-1981,127.793109
17-06-1981,126.3636868
18-06-1981,126.8790632
19-06-1981,126.1138755
22-06-1981,126.3585427
23-06-1981,127.4073
24-06-1981,128.0728205
25-06-1981,127.4410583
26-06-1981,123.6871371
29-06-1981,121.5140682
30-06-1981,119.0786491
01-07-1981,119.698837
02-07-1981,116.4175318
03-07-1981,117.0740501
06-07-1981,112.9703288
07-07-1981,114.1582989
08-07-1981,114.230638
09-07-1981,116.0674102
10-07-1981,117.891322
13-07-1981,118.8092259
14-07-1981,115.6163352
15-07-1981,115.4514019
16-07-1981,118.8892812
17-07-1981,117.4068103
20-07-1981,118.451388
21-07-1981,117.8742821
22-07-1981,116.8801811
23-07-1981,118.5475188
24-07-1981,116.6583409
27-07-1981,117.5264111
28-07-1981,115.2739298
29-07-1981,115.6774216
30-07-1981,115.6401268
31-07-1981,117.5148368
03-08-1981,115.153043
04-08-1981,115.6468784
05-08-1981,114.5756155
06-08-1981,115.9796386
07-08-1981,117.3859123
10-08-1981,116.0278648
11-08-1981,117.0599037
12-08-1981,118.0424305
13-08-1981,118.6018535
14-08-1981,119.4728173
17-08-1981,117.9678408
18-08-1981,122.1522605
19-08-1981,125.1271691
20-08-1981,123.2010178
21-08-1981,121.6835026
24-08-1981,123.3968159
25-08-1981,119.4335934
26-08-1981,118.792829
27-08-1981,119.871808
28-08-1981,122.8177809
31-08-1981,122.8177809
01-09-1981,122.7605526
02-09-1981,124.8664265
03-09-1981,125.8711373
04-09-1981,127.3494287
07-09-1981,128.1149379
08-09-1981,128.4409465
09-09-1981,129.086855
10-09-1981,129.8112113
11-09-1981,132.9320843
14-09-1981,134.6978033
15-09-1981,130.3892818
16-09-1981,129.7835617
17-09-1981,133.5644895
18-09-1981,130.2253129
21-09-1981,133.1433147
22-09-1981,135.0549981
23-09-1981,135.6661838
24-09-1981,133.7094894
25-09-1981,134.1801763
28-09-1981,125.619397
29-09-1981,127.2028213
30-09-1981,124.4362495
01-10-1981,126.6935534
02-10-1981,126.8729546
05-10-1981,127.9024215
06-10-1981,127.8857031
07-10-1981,129.0884625
08-10-1981,126.934684
09-10-1981,131.8556773
12-10-1981,132.6279382
13-10-1981,130.9503123
14-10-1981,130.5918315
15-10-1981,131.607795
16-10-1981,129.6157348
19-10-1981,129.6819653
20-10-1981,130.6812105
21-10-1981,129.4443713
22-10-1981,129.0077642
23-10-1981,128.3997936
26-10-1981,128.075714
27-10-1981,126.1424896
28-10-1981,126.3022789
29-10-1981,123.2842883
30-10-1981,124.628511
02-11-1981,126.1405606
03-11-1981,125.6991308
04-11-1981,126.6710479
05-11-1981,126.4578885
06-11-1981,126.1916803
09-11-1981,125.6496187
10-11-1981,125.2859938
11-11-1981,120.8128604
12-11-1981,119.6477173
13-11-1981,120.6935811
16-11-1981,119.2024295
17-11-1981,116.4307136
18-11-1981,116.7129972
19-11-1981,117.2987838
20-11-1981,117.9681623
23-11-1981,116.1863679
24-11-1981,115.8954037
25-11-1981,118.8015097
26-11-1981,119.5165423
27-11-1981,119.2795913
30-11-1981,122.6534906
01-12-1981,119.826154
02-12-1981,118.903749
03-12-1981,123.5463169
04-12-1981,124.4230677
07-12-1981,123.1862285
08-12-1981,123.3077583
09-12-1981,119.6313204
10-12-1981,120.5000336
11-12-1981,125.0921247
14-12-1981,123.0814171
15-12-1981,120.1454109
16-12-1981,121.4121503
17-12-1981,121.4282257
18-12-1981,121.0639577
21-12-1981,122.563147
22-12-1981,118.7127736
23-12-1981,117.9228298
24-12-1981,118.2745589
25-12-1981,118.2745589
28-12-1981,118.2745589
29-12-1981,116.1410354
30-12-1981,115.693497
31-12-1981,116.5509574
01-01-1982,116.5509574
04-01-1982,116.3956693
05-01-1982,117.5585618
06-01-1982,117.5424864
07-01-1982,116.0879867
08-01-1982,116.6901701
11-01-1982,116.2435963
12-01-1982,114.895194
13-01-1982,114.4463695
14-01-1982,109.0254322
15-01-1982,110.568668
18-01-1982,107.4992362
19-01-1982,110.1481362
20-01-1982,109.1466405
21-01-1982,110.3796216
22-01-1982,111.2071818
25-01-1982,110.0246774
26-01-1982,109.1807203
27-01-1982,112.2778017
28-01-1982,111.7148421
29-01-1982,114.0075119
01-02-1982,112.5838768
02-02-1982,110.3831582
03-02-1982,111.4206628
04-02-1982,112.2700855
05-02-1982,113.9641083
08-02-1982,111.947935
09-02-1982,111.4476694
10-02-1982,112.4681341
11-02-1982,111.7720704
12-02-1982,112.053711
15-02-1982,110.9695878
16-02-1982,111.5531239
17-02-1982,111.6682235
18-02-1982,108.6675944
19-02-1982,109.2009752
22-02-1982,106.8755117
23-02-1982,107.3506998
24-02-1982,108.0030384
25-02-1982,109.1868289
26-02-1982,108.4727608
01-03-1982,106.8089597
02-03-1982,108.2203775
03-03-1982,105.9357454
04-03-1982,102.8309478
05-03-1982,100.6051516
08-03-1982,100.1823693
09-03-1982,97.08785997
10-03-1982,99.0185123
11-03-1982,99.40528578
12-03-1982,96.27283854
15-03-1982,93.74225328
16-03-1982,95.90728455
17-03-1982,93.49662157
18-03-1982,96.00598734
19-03-1982,94.70902623
22-03-1982,94.92122115
23-03-1982,97.61706125
24-03-1982,99.41107291
25-03-1982,98.18805851
26-03-1982,96.57505556
29-03-1982,95.6812648
30-03-1982,97.54440057
31-03-1982,96.05389196
01-04-1982,97.63120758
02-04-1982,97.98840238
05-04-1982,101.4275677
06-04-1982,105.0728194
07-04-1982,106.8739042
08-04-1982,105.402043
09-04-1982,105.402043
12-04-1982,105.402043
13-04-1982,105.9000581
14-04-1982,110.4857191
15-04-1982,109.149534
16-04-1982,109.5729594
19-04-1982,107.2137376
20-04-1982,104.3147048
21-04-1982,104.1436628
22-04-1982,103.8311576
23-04-1982,104.4349486
26-04-1982,107.6339479
27-04-1982,105.402043
28-04-1982,107.1719416
29-04-1982,104.8750923
30-04-1982,106.8086382
03-05-1982,106.7549464
04-05-1982,102.7991186
05-05-1982,101.5667805
06-05-1982,99.32490891
07-05-1982,99.68274672
10-05-1982,97.25054274
11-05-1982,97.28044294
12-05-1982,98.5147101
13-05-1982,98.59540847
14-05-1982,98.87511997
17-05-1982,100.664309
18-05-1982,101.7301063
19-05-1982,103.2939186
20-05-1982,103.3071004
21-05-1982,102.6808038
24-05-1982,99.37024146
25-05-1982,97.59198367
26-05-1982,99.3027249
